Flood watch,SW46.9L,,,
YYYY-MM-DD HH:MM:SS,Bahadurabad,13.16,date num,
1/1/2021 6:00,13.19,13.15,1,0
1/1/2021 9:00,13.19,13.122,2,0
1/1/2021 18:00,13.17,13.096,3,0
1/2/2021 6:00,13.16,13.072,4,0
1/2/2021 9:00,13.16,13.032,5,0
1/2/2021 12:00,13.16,12.998,6,0
1/2/2021 15:00,13.16,12.974,7,0
1/2/2021 18:00,13.16,12.966,8,0
1/3/2021 6:00,13.15,12.954,9,0
1/3/2021 9:00,13.15,12.934,10,0
1/3/2021 12:00,13.15,12.92,11,0
1/3/2021 15:00,13.15,12.914,12,0
1/3/2021 18:00,13.15,12.906,13,0
1/4/2021 6:00,13.13,12.89,14,0
1/4/2021 9:00,13.13,12.886,15,0
1/4/2021 12:00,13.12,12.874,16,0
1/4/2021 15:00,13.12,12.854,17,0
1/4/2021 18:00,13.11,12.84,18,0
1/5/2021 6:00,13.1,12.82,19,0
1/5/2021 9:00,13.1,12.806,20,0
1/5/2021 12:00,13.1,12.79,,0
1/5/2021 15:00,13.09,12.784,,0
1/5/2021 18:00,13.09,12.776,,0
1/6/2021 6:00,13.08,12.76,,0
1/6/2021 9:00,13.08,12.756,,0
1/6/2021 12:00,13.07,12.75,,0
1/6/2021 15:00,13.07,12.74,,0
1/6/2021 18:00,13.06,12.726,,0
1/7/2021 6:00,13.04,12.72,,0
1/7/2021 9:00,13.04,12.702,,0
1/7/2021 12:00,13.03,12.674,,0
1/7/2021 15:00,13.03,12.656,,0
1/7/2021 18:00,13.02,12.636,,0
1/8/2021 6:00,13.01,12.604,,0
1/8/2021 9:00,13,12.586,,0
1/8/2021 12:00,13,12.566,,0
1/8/2021 15:00,12.99,12.552,,0
1/8/2021 18:00,12.99,12.52,,0
1/9/2021 6:00,12.98,12.48,,0
1/9/2021 9:00,12.98,12.466,,0
1/9/2021 12:00,12.97,12.446,,0
1/9/2021 15:00,12.97,12.432,,0
1/9/2021 18:00,12.97,12.408,,0
1/10/2021 6:00,12.97,12.39,,0
1/10/2021 9:00,12.97,12.378,,0
1/10/2021 12:00,12.97,12.36,,0
1/10/2021 15:00,12.96,12.346,,0
1/10/2021 18:00,12.96,12.33,,0
1/11/2021 6:00,12.96,12.32,,0
1/11/2021 9:00,12.96,12.31,,0
1/11/2021 12:00,12.95,12.3,,0
1/11/2021 15:00,12.95,12.284,,0
1/11/2021 18:00,12.95,12.266,,0
1/12/2021 6:00,12.94,12.25,,0
1/12/2021 9:00,12.94,12.25,,0
1/12/2021 12:00,12.93,12.25,,0
1/12/2021 15:00,12.93,12.24,,0
1/12/2021 18:00,12.93,12.24,,0
1/13/2021 6:00,12.92,12.226,,0
1/13/2021 9:00,12.92,12.22,,0
1/13/2021 12:00,12.92,12.21,,0
1/13/2021 15:00,12.92,12.212,,0
1/13/2021 18:00,12.92,12.22,,0
1/14/2021 6:00,12.92,12.248,,0
1/14/2021 9:00,12.92,12.27,,0
1/14/2021 12:00,12.91,12.292,,0
1/14/2021 15:00,12.91,12.318,,0
1/14/2021 18:00,12.91,12.366,,0
1/15/2021 6:00,12.91,12.408,,0
1/15/2021 9:00,12.91,12.472,,0
1/15/2021 12:00,12.91,12.49,,0
1/15/2021 15:00,12.9,12.462,,0
1/15/2021 18:00,12.9,12.44,,0
1/16/2021 6:00,12.89,12.432,,0
1/16/2021 9:00,12.89,12.466,,0
1/16/2021 12:00,12.89,12.47,,0
1/16/2021 15:00,12.89,12.442,,0
1/16/2021 18:00,12.89,12.42,,0
1/17/2021 6:00,12.89,12.42,,0
1/17/2021 9:00,12.89,12.424,,0
1/17/2021 12:00,12.89,12.448,,0
1/17/2021 15:00,12.88,12.47,,0
1/17/2021 18:00,12.88,12.444,,0
1/18/2021 6:00,12.88,12.43,,0
1/18/2021 9:00,12.88,12.43,,0
1/18/2021 12:00,12.87,12.44,,0
1/18/2021 15:00,12.87,12.456,,0
1/18/2021 18:00,12.87,12.502,,0
1/19/2021 6:00,12.86,12.544,,0
1/19/2021 9:00,12.86,12.56,,0
1/19/2021 12:00,12.85,12.55,,0
1/19/2021 15:00,12.85,12.54,,0
1/19/2021 18:00,12.85,12.566,,0
1/20/2021 6:00,12.84,12.592,,0
1/20/2021 9:00,12.84,12.61,,0
1/20/2021 12:00,12.84,12.62,,0
1/20/2021 15:00,12.84,12.666,,0
1/20/2021 18:00,12.84,12.766,,0
1/21/2021 6:00,12.83,12.88,,0
1/21/2021 9:00,12.83,12.96,,0
1/21/2021 12:00,12.82,12.96,,0
1/21/2021 15:00,12.81,12.912,,0
1/21/2021 18:00,12.81,12.886,,0
1/22/2021 6:00,12.81,12.838,,0
1/22/2021 9:00,12.81,12.826,,0
1/22/2021 12:00,12.81,12.872,,0
1/22/2021 15:00,12.8,13.042,,0
1/22/2021 18:00,12.8,13.314,,0
1/23/2021 6:00,12.79,13.436,,0
1/23/2021 9:00,12.79,13.472,,0
1/23/2021 12:00,12.79,13.42,,0
1/23/2021 15:00,12.79,13.368,,0
1/23/2021 18:00,12.79,13.33,,0
1/24/2021 6:00,12.79,13.322,,0
1/24/2021 9:00,12.79,13.33,,0
1/24/2021 12:00,12.78,13.348,,0
1/24/2021 15:00,12.78,13.426,,0
1/24/2021 18:00,12.78,13.454,,0
1/25/2021 6:00,12.78,13.488,,0
1/25/2021 9:00,12.78,13.5,,0
1/25/2021 12:00,12.78,13.5,,0
1/25/2021 15:00,12.77,13.482,,0
1/25/2021 18:00,12.77,13.46,,0
1/26/2021 6:00,12.76,13.45,,0
1/26/2021 9:00,12.76,13.45,,0
1/26/2021 12:00,12.76,13.5,,0
1/26/2021 15:00,12.76,13.548,,0
1/26/2021 18:00,12.76,13.562,,0
1/27/2021 6:00,12.76,13.61,,0
1/27/2021 9:00,12.76,13.64,,0
1/27/2021 12:00,12.76,13.694,,0
1/27/2021 15:00,12.75,13.774,,0
1/27/2021 18:00,12.75,14.074,,0
1/28/2021 6:00,12.75,14.12,,0
1/28/2021 9:00,12.75,14.21,,0
1/28/2021 12:00,12.75,14.26,,0
1/28/2021 15:00,12.75,14.274,,0
1/28/2021 18:00,12.75,14.428,,0
1/29/2021 6:00,12.74,14.702,,0
1/29/2021 9:00,12.74,14.818,,0
1/29/2021 12:00,12.74,14.84,,0
1/29/2021 15:00,12.74,14.836,,0
1/29/2021 18:00,12.74,15.388,,0
1/30/2021 6:00,12.73,15.978,,0
1/30/2021 9:00,12.73,16.206,,0
1/30/2021 12:00,12.73,16.174,,0
1/30/2021 15:00,12.72,16.234,,0
1/30/2021 18:00,12.72,16.226,,0
1/31/2021 6:00,12.72,16.168,,0
1/31/2021 9:00,12.72,16.128,,0
1/31/2021 12:00,12.72,16.232,,0
1/31/2021 15:00,12.72,16.282,,0
1/31/2021 18:00,12.72,16.22,,0
2/1/2021 6:00,12.71,16.192,,0
2/1/2021 9:00,12.71,16.266,,0
2/1/2021 12:00,12.7,16.464,,0
2/1/2021 15:00,12.7,16.77,,0
2/1/2021 18:00,12.69,17.088,,0
2/2/2021 6:00,12.68,17.306,,0
2/2/2021 9:00,12.68,17.276,,0
2/2/2021 12:00,12.67,17.23,,0
2/2/2021 15:00,12.67,17.304,,0
2/2/2021 18:00,12.67,17.358,,0
2/3/2021 6:00,12.66,17.296,,0
2/3/2021 9:00,12.66,17.058,,0
2/3/2021 12:00,12.66,16.998,,0
2/3/2021 15:00,12.65,16.99,,0
2/3/2021 18:00,12.65,17.036,,0
2/4/2021 6:00,12.64,17.124,,0
2/4/2021 9:00,12.64,17.154,,0
2/4/2021 12:00,12.64,17.192,,0
2/4/2021 15:00,12.63,17.11,,0
2/4/2021 18:00,12.63,17.024,,0
2/5/2021 6:00,12.61,17.062,,0
2/5/2021 9:00,12.61,17.098,,0
2/5/2021 12:00,12.6,17.164,,0
2/5/2021 15:00,12.6,17.27,,0
2/5/2021 18:00,12.6,17.524,,0
2/6/2021 6:00,12.59,17.948,,0
2/6/2021 9:00,12.59,18.236,,0
2/6/2021 12:00,12.59,18.258,,0
2/6/2021 15:00,12.58,18.346,,0
2/6/2021 18:00,12.58,18.66,,0
2/7/2021 6:00,12.57,18.864,,0
2/7/2021 9:00,12.57,18.89,,0
2/7/2021 12:00,12.57,18.882,,0
2/7/2021 15:00,12.56,18.852,,0
2/7/2021 18:00,12.56,18.854,,0
2/8/2021 6:00,12.56,18.768,,0
2/8/2021 9:00,12.56,18.588,,0
2/8/2021 12:00,12.55,18.462,,0
2/8/2021 15:00,12.55,18.398,,0
2/8/2021 18:00,12.54,18.3,,0
2/9/2021 6:00,12.53,18.328,,0
2/9/2021 9:00,12.53,18.45,,0
2/9/2021 12:00,12.52,18.566,,0
2/9/2021 15:00,12.51,18.584,,0
2/9/2021 18:00,12.51,18.514,,0
2/10/2021 6:00,12.49,18.408,,0
2/10/2021 9:00,12.49,18.288,,0
2/10/2021 12:00,12.48,18.22,,0
2/10/2021 15:00,12.47,18.108,,0
2/10/2021 18:00,12.47,17.98,,0
2/11/2021 6:00,12.47,17.814,,0
2/11/2021 9:00,12.47,17.662,,0
2/11/2021 12:00,12.47,17.506,,0
2/11/2021 15:00,12.46,17.434,,0
2/11/2021 18:00,12.46,17.416,,0
2/12/2021 6:00,12.45,17.422,,0
2/12/2021 9:00,12.45,17.454,,0
2/12/2021 12:00,12.45,17.55,,0
2/12/2021 15:00,12.44,17.594,,0
2/12/2021 18:00,12.44,17.594,,0
2/13/2021 6:00,12.44,17.694,,0
2/13/2021 9:00,12.44,17.766,,0
2/13/2021 12:00,12.43,17.752,,0
2/13/2021 15:00,12.43,17.712,,0
2/13/2021 18:00,12.42,17.544,,0
2/14/2021 6:00,12.41,17.338,,0
2/14/2021 9:00,12.41,17.284,,0
2/14/2021 12:00,12.41,17.178,,0
2/14/2021 15:00,12.41,17.112,,0
2/14/2021 18:00,12.4,17.284,,0
2/15/2021 6:00,12.39,17.52,,0
2/15/2021 9:00,12.39,17.83,,0
2/15/2021 12:00,12.39,18.134,,0
2/15/2021 15:00,12.39,18.324,,0
2/15/2021 18:00,12.39,18.546,,0
2/16/2021 6:00,12.38,18.754,,0
2/16/2021 9:00,12.38,18.936,,0
2/16/2021 12:00,12.38,19.026,,0
2/16/2021 15:00,12.38,19.038,,0
2/16/2021 18:00,12.37,19.01,,0
2/17/2021 6:00,12.36,19.044,,0
2/17/2021 9:00,12.36,19.214,,0
2/17/2021 12:00,12.36,19.35,,0
2/17/2021 15:00,12.36,19.474,,0
2/17/2021 18:00,12.36,19.602,,0
2/18/2021 6:00,12.35,19.632,,0
2/18/2021 9:00,12.35,19.748,,0
2/18/2021 12:00,12.35,19.898,,0
2/18/2021 15:00,12.34,20.04,,0
2/18/2021 18:00,12.34,20.128,,0
2/19/2021 6:00,12.33,20.104,,0
2/19/2021 9:00,12.33,19.914,,0
2/19/2021 12:00,12.33,19.582,,0
2/19/2021 15:00,12.33,19.236,,0
2/19/2021 18:00,12.33,19.002,,0
2/20/2021 6:00,12.32,18.848,,0
2/20/2021 9:00,12.32,18.704,,0
2/20/2021 12:00,12.32,18.532,,0
2/20/2021 15:00,12.32,18.444,,0
2/20/2021 18:00,12.32,18.334,,0
2/21/2021 6:00,12.31,18.238,,0
2/21/2021 9:00,12.31,18.1,,0
2/21/2021 12:00,12.31,17.944,,0
2/21/2021 15:00,12.31,17.758,,0
2/21/2021 18:00,12.31,17.628,,0
2/22/2021 6:00,12.3,17.49,,0
2/22/2021 9:00,12.3,17.414,,0
2/22/2021 12:00,12.3,17.378,,0
2/22/2021 15:00,12.3,17.302,,0
2/22/2021 18:00,12.3,17.204,,0
2/23/2021 6:00,12.29,17.14,,0
2/23/2021 9:00,12.29,17.106,,0
2/23/2021 12:00,12.28,16.966,,0
2/23/2021 15:00,12.28,16.78,,0
2/23/2021 18:00,12.28,16.604,,0
2/24/2021 6:00,12.27,16.474,,0
