Date,Day,WaterLevel (mPWD),Rainfall(mm),Floodornot
  1 Jan 2021,1,13.16,0,0
  2 Jan 2021,2,13.15,0,0
  3 Jan 2021,3,13.122,0.898815,0
  4 Jan 2021,4,13.096,0,0
  5 Jan 2021,5,13.072,0,0
  6 Jan 2021,6,13.032,0,0
  7 Jan 2021,7,12.998,0,0
  8 Jan 2021,8,12.974,0,0
  9 Jan 2021,9,12.966,0,0
 10 Jan 2021,10,12.954,0.82459,0
 11 Jan 2021,11,12.934,0,0
 12 Jan 2021,12,12.92,0,0
 13 Jan 2021,13,12.914,0,0
 14 Jan 2021,14,12.906,0,0
 15 Jan 2021,15,12.89,0,0
 16 Jan 2021,16,12.886,0,0
 17 Jan 2021,17,12.874,0,0
 18 Jan 2021,18,12.854,0,0
 19 Jan 2021,19,12.84,0.305736,0
 20 Jan 2021,20,12.82,0.001607727,0
 21 Jan 2021,21,12.806,0,0
 22 Jan 2021,22,12.79,0,0
 23 Jan 2021,23,12.784,0,0
 24 Jan 2021,24,12.776,0,0
 25 Jan 2021,25,12.76,0,0
 26 Jan 2021,26,12.756,0,0
 27 Jan 2021,27,12.75,0,0
 28 Jan 2021,28,12.74,0,0
 29 Jan 2021,29,12.726,0.379919,0
 30 Jan 2021,30,12.72,0,0
 31 Jan 2021,31,12.702,0,0
  1 Feb 2021,32,12.674,0,0
  2 Feb 2021,33,12.656,0,0
  3 Feb 2021,34,12.636,0,0
  4 Feb 2021,35,12.604,0,0
  5 Feb 2021,36,12.586,0,0
  6 Feb 2021,37,12.566,0.008911967,0
  7 Feb 2021,38,12.552,0,0
  8 Feb 2021,39,12.52,0,0
  9 Feb 2021,40,12.48,0,0
 10 Feb 2021,41,12.466,0,0
 11 Feb 2021,42,12.446,0,0
 12 Feb 2021,43,12.432,0,0
 13 Feb 2021,44,12.408,0,0
 14 Feb 2021,45,12.39,0,0
 15 Feb 2021,46,12.378,0,0
 16 Feb 2021,47,12.36,0,0
 17 Feb 2021,48,12.346,0,0
 18 Feb 2021,49,12.33,0,0
 19 Feb 2021,50,12.32,0.353026,0
 20 Feb 2021,51,12.31,0,0
 21 Feb 2021,52,12.3,0,0
 22 Feb 2021,53,12.284,0,0
 23 Feb 2021,54,12.266,0,0
 24 Feb 2021,55,12.25,2.14332,0
 25 Feb 2021,56,12.25,0,0
 26 Feb 2021,57,12.25,0,0
 27 Feb 2021,58,12.24,0.358904,0
 28 Feb 2021,59,12.24,0,0
  1 Mar 2021,60,12.226,0,0
  2 Mar 2021,61,12.22,0,0
  3 Mar 2021,62,12.21,0,0
  4 Mar 2021,63,12.212,0,0
  5 Mar 2021,64,12.22,0,0
  6 Mar 2021,65,12.248,0,0
  7 Mar 2021,66,12.27,0,0
  8 Mar 2021,67,12.292,0,0
  9 Mar 2021,68,12.318,0,0
 10 Mar 2021,69,12.366,0,0
 11 Mar 2021,70,12.408,0,0
 12 Mar 2021,71,12.472,0,0
 13 Mar 2021,72,12.49,4.59313,0
 14 Mar 2021,73,12.462,0,0
 15 Mar 2021,74,12.44,0,0
 16 Mar 2021,75,12.432,0,0
