Date,Day,WaterLevel(mPWD),Rainfall(mm),Floodornot
1-Jan-21,1,13.16,0,0
2-Jan-21,2,13.15,0,0
3-Jan-21,3,13.122,0.898815,0
4-Jan-21,4,13.096,0,0
5-Jan-21,5,13.072,0,0
6-Jan-21,6,13.032,0,0
7-Jan-21,7,12.998,0,0
8-Jan-21,8,12.974,0,0
9-Jan-21,9,12.966,0,0
10-Jan-21,10,12.954,0.82459,0
11-Jan-21,11,12.934,0,0
12-Jan-21,12,12.92,0,0
13-Jan-21,13,12.914,0,0
14-Jan-21,14,12.906,0,0
15-Jan-21,15,12.89,0,0
16-Jan-21,16,12.886,0,0
17-Jan-21,17,12.874,0,0
18-Jan-21,18,12.854,0,0
19-Jan-21,19,12.84,0.305736,0
20-Jan-21,20,12.82,0.001607727,0
21-Jan-21,21,12.806,0,0
22-Jan-21,22,12.79,0,0
23-Jan-21,23,12.784,0,0
24-Jan-21,24,12.776,0,0
25-Jan-21,25,12.76,0,0
26-Jan-21,26,12.756,0,0
27-Jan-21,27,12.75,0,0
28-Jan-21,28,12.74,0,0
29-Jan-21,29,12.726,0.379919,0
30-Jan-21,30,12.72,0,0
31-Jan-21,31,12.702,0,0
1-Feb-21,32,12.674,0,0
2-Feb-21,33,12.656,0,0
3-Feb-21,34,12.636,0,0
4-Feb-21,35,12.604,0,0
5-Feb-21,36,12.586,0,0
6-Feb-21,37,12.566,0.008911967,0
7-Feb-21,38,12.552,0,0
8-Feb-21,39,12.52,0,0
9-Feb-21,40,12.48,0,0
10-Feb-21,41,12.466,0,0
11-Feb-21,42,12.446,0,0
12-Feb-21,43,12.432,0,0
13-Feb-21,44,12.408,0,0
14-Feb-21,45,12.39,0,0
15-Feb-21,46,12.378,0,0
16-Feb-21,47,12.36,0,0
17-Feb-21,48,12.346,0,0
18-Feb-21,49,12.33,0,0
19-Feb-21,50,12.32,0.353026,0
20-Feb-21,51,12.31,0,0
21-Feb-21,52,12.3,0,0
22-Feb-21,53,12.284,0,0
23-Feb-21,54,12.266,0,0
24-Feb-21,55,12.25,2.14332,0
25-Feb-21,56,12.25,0,0
26-Feb-21,57,12.25,0,0
27-Feb-21,58,12.24,0.358904,0
28-Feb-21,59,12.24,0,0
1-Mar-21,60,12.226,0,0
2-Mar-21,61,12.22,0,0
3-Mar-21,62,12.21,0,0
4-Mar-21,63,12.212,0,0
5-Mar-21,64,12.22,0,0
6-Mar-21,65,12.248,0,0
7-Mar-21,66,12.27,0,0
8-Mar-21,67,12.292,0,0
9-Mar-21,68,12.318,0,0
10-Mar-21,69,12.366,0,0
11-Mar-21,70,12.408,0,0
12-Mar-21,71,12.472,0,0
