WaterLevel(mPWD),Rainfall(mm),temperature,Humidity,Floodornot,
13.16,0,20.5,30,0,FALSE
13.15,0,20,30,0,FALSE
13.122,0.898815,21,63,0,FALSE
13.096,0,21.5,55,0,FALSE
13.072,0,21.5,51,0,FALSE
13.032,0,22.5,29,0,FALSE
12.998,0,22.5,30,0,FALSE
12.974,0,24.5,31,0,FALSE
12.966,0,23.5,43,0,FALSE
12.954,0.82459,22.5,44,0,FALSE
12.934,0,23.5,37,0,FALSE
12.92,0,22,36,0,FALSE
12.914,0,21,29,0,FALSE
12.906,0,20.5,26,0,FALSE
12.89,0,21,25,0,FALSE
12.886,0,19,27,0,FALSE
12.874,0,19,27,0,FALSE
12.854,0,20,27,0,FALSE
12.84,0.305736,20,25,0,FALSE
12.82,0.001607727,21,41,0,FALSE
12.806,0,19.5,29,0,FALSE
12.79,0,19,29,0,FALSE
12.784,0,19.5,30,0,FALSE
12.776,0,20,22,0,FALSE
12.76,0,21,23,0,FALSE
12.756,0,19,24,0,FALSE
12.75,0,19,30,0,FALSE
12.74,0,20,25,0,FALSE
12.726,0.379919,20.5,43,0,FALSE
12.72,0,19.5,40,0,FALSE
12.702,0,20.5,30,0,FALSE
12.674,0,17,27,0,FALSE
12.656,0,19.5,27,0,FALSE
12.636,0,20,24,0,FALSE
12.604,0,21,23,0,FALSE
12.586,0,22.5,46,0,FALSE
12.566,0.008911967,22.5,29,0,FALSE
12.552,0,22,39,0,FALSE
12.52,0,21,52,0,FALSE
12.48,0,22.5,28,0,FALSE
12.466,0,22,23,0,FALSE
12.446,0,21.5,23,0,FALSE
12.432,0,23,21,0,FALSE
12.408,0,22.5,24,0,FALSE
12.39,0,22.5,29,0,FALSE
12.378,0,22.5,22,0,FALSE
12.36,0,23,21,0,FALSE
12.346,0,23,20,0,FALSE
12.33,0,22.5,25,0,FALSE
12.32,0.353026,23.5,21,0,FALSE
12.31,0,24,25,0,FALSE
12.3,0,20.5,26,0,FALSE
12.284,0,25.5,22,0,FALSE
12.266,0,23.5,23,0,FALSE
12.25,2.14332,22.5,22,0,FALSE
12.25,0,23.5,33,0,FALSE
12.25,0,26,42,0,FALSE
12.24,0.358904,27,27,0,FALSE
12.24,0,28.5,24,0,FALSE
12.226,0,28.5,24,0,FALSE
12.22,0,27,25,0,FALSE
12.21,0,27,28,0,FALSE
12.212,0,27,31,0,FALSE
12.22,0,27,31,0,FALSE
12.248,0,27,36,0,FALSE
12.27,0,27,32,0,FALSE
12.292,0,27.5,50,0,FALSE
12.318,0,28.5,37,0,FALSE
12.366,0,27.5,20,0,FALSE
12.408,0,28,20,0,FALSE
12.472,0,29,27,0,FALSE
12.49,4.59313,29,44,0,FALSE
12.462,0,27,26,0,FALSE
12.44,0,27.5,28,0,FALSE
12.432,0,28,36,0,FALSE
12.466,0.46224,27.5,33,0,FALSE
12.47,0.19246,28.5,30,0,FALSE
12.442,0,29,18,0,FALSE
12.42,0,29,16,0,FALSE
12.42,0,29.5,18,0,FALSE
12.424,0,30.5,26,0,FALSE
12.448,0,29.5,26,0,FALSE
12.47,0.376989,31,26,0,FALSE
12.444,0,31.5,20,0,FALSE
12.43,0,31,23,0,FALSE
12.43,0,30.5,18,0,FALSE
12.44,0,30,16,0,FALSE
12.456,3.36918,31,21,0,FALSE
12.502,0.004990581,30,17,0,FALSE
12.544,0.21854,30.5,13,0,FALSE
12.56,0.219604,31,11,0,FALSE
12.55,0,31,15,0,FALSE
12.54,0,31.5,22,0,FALSE
12.566,0.610678,20.5,14,0,FALSE
12.592,0,28.5,11,0,FALSE
12.61,0,29.5,17,0,FALSE
12.62,0,29.5,9,0,FALSE
12.666,6.35406,29.5,16,0,FALSE
12.766,0.295608,30.5,23,0,FALSE
12.88,0,30,19,0,FALSE
12.96,0,30.5,19,0,FALSE
12.96,0,30.5,18,0,FALSE
12.912,0,31.5,13,0,FALSE
12.886,0,32,14,0,FALSE
12.838,0.461455,32,21,0,FALSE
12.826,0.201528,31.5,19,0,FALSE
12.872,7.4015,31,30,0,FALSE
13.042,0,28.5,30,0,FALSE
13.314,0.02259036,31,46,0,FALSE
13.436,0,31,47,0,FALSE
13.472,19.0622,31.5,46,0,FALSE
13.42,4.37581,30.5,38,0,FALSE
13.368,0,29.5,53,0,FALSE
13.33,0,30.5,61,0,FALSE
13.322,0,29.5,65,0,FALSE
13.33,0,30.5,50,0,FALSE
13.348,0,32,52,0,FALSE
13.426,0,32,51,0,FALSE
13.454,0,32,41,0,FALSE
13.488,0.812221,33,41,0,FALSE
13.5,2.95677,30.5,46,0,FALSE
13.5,8.58117,29.5,45,0,FALSE
13.482,11.4881,29,39,0,FALSE
13.46,0.142961,30,38,0,FALSE
13.45,3.17641,29.5,53,0,FALSE
13.45,6.32249,29,57,0,FALSE
13.5,17.5281,29,56,0,FALSE
13.548,14.1969,30.5,40,0,FALSE
13.562,11.3443,31.5,30,0,FALSE
13.61,20.1872,30,40,0,FALSE
13.64,15.0575,26.5,32,0,FALSE
13.694,8.29862,28.5,32,0,FALSE
13.774,7.48236,29.5,36,0,FALSE
14.074,0.00312871,29.5,25,0,FALSE
14.12,1.33777,31.5,31,0,FALSE
14.21,5.90966,30.5,33,0,FALSE
14.26,4.07575,31.5,37,0,FALSE
14.274,2.29595,31.5,34,0,FALSE
14.428,0.01445721,32,25,0,FALSE
14.702,2.15542,32,43,0,FALSE
14.818,13.5893,31.5,84,0,FALSE
14.84,0.08929759,31.5,65,0,FALSE
14.836,0.05422192,33,55,0,FALSE
15.388,10.8296,32.5,53,1,TRUE
15.978,32.9357,31,53,1,TRUE
16.206,12.7,28,55,1,TRUE
16.174,12.3399,29,51,1,TRUE
16.234,33.0648,30.5,51,1,TRUE
16.226,1.74585,31.5,51,1,TRUE
16.168,17.7101,30.5,48,1,TRUE
16.128,37.6132,27.5,59,1,TRUE
16.232,14.5472,28,51,1,TRUE
16.282,0.45917,31,47,1,TRUE
16.22,3.85484,31,42,1,TRUE
16.192,8.2851,31.5,49,1,TRUE
16.266,9.46091,28,41,1,TRUE
16.464,21.6265,29,45,1,TRUE
16.77,13.0499,30,29,1,TRUE
17.088,22.5155,29.5,32,1,TRUE
17.306,3.44088,30.5,33,1,TRUE
17.276,28.1747,30,34,1,TRUE
17.23,27.1073,29.5,39,1,TRUE
17.304,9.68433,29.5,49,1,TRUE
17.358,4.35542,30,53,1,TRUE
17.296,2.64045,31,58,1,TRUE
17.058,16.7582,29,56,1,TRUE
16.998,9.55893,28,58,1,TRUE
16.99,14.7752,28.5,54,1,TRUE
17.036,29.4088,27.5,66,1,TRUE
17.124,20.3667,27,69,1,TRUE
17.154,25.2138,27,45,1,TRUE
17.192,2.25706,28,48,1,TRUE
17.11,0,27.5,50,1,TRUE
17.024,1.21052,29,56,1,TRUE
17.062,0.0474005,30,54,1,TRUE
17.098,0,29.5,55,1,TRUE
17.164,7.34805,29.5,51,1,TRUE
17.27,12.6325,30.5,50,1,TRUE
17.524,23.4514,30,65,1,TRUE
17.948,36.548,28.5,61,1,TRUE
18.236,52.0464,28.5,51,1,TRUE
18.258,12.5344,27,51,1,TRUE
18.346,29.0815,27,48,1,TRUE
18.66,10.5921,28.5,46,1,TRUE
18.864,0.0948,28.5,51,1,TRUE
18.89,0.9977,29.5,53,1,TRUE
18.882,24.9638,29.5,70,1,TRUE
18.852,7.3245,28,52,1,TRUE
18.854,2.3156,30,56,1,TRUE
18.768,1.2605,30.5,45,1,TRUE
18.588,4.3541,30,53,1,TRUE
18.462,1.2484,30,61,1,TRUE
18.398,4.7742,31,62,1,TRUE
18.3,3.9829,31,84,1,TRUE
18.328,1.8755,31,58,1,TRUE
18.45,7.3143,31,71,1,TRUE
18.566,3.0467,30,63,1,TRUE
18.584,14.6041,30,55,1,TRUE
18.514,4.9103,29,56,1,TRUE
18.408,3.2269,28.5,57,1,TRUE
18.288,28.7872,29,54,1,TRUE
18.22,0.601,30,70,1,TRUE
18.108,4.4241,30,63,1,TRUE
17.98,4.2995,29.5,65,1,TRUE
17.814,4.6454,28.5,75,1,TRUE
17.662,13.3915,30.5,60,1,TRUE
17.506,6.0253,30.5,55,1,TRUE
17.434,0.0783,30,54,1,TRUE
17.416,6.993,29.5,48,1,TRUE
17.422,8.1358,27.5,52,1,TRUE
17.454,11.6031,28,57,1,TRUE
17.55,12.9751,28.5,54,1,TRUE
17.594,12.5697,29.5,49,1,TRUE
17.594,12.6422,29,49,1,TRUE
17.694,12.7146,31,49,1,TRUE
17.766,12.7871,30,45,1,TRUE
17.752,12.8596,31,47,1,TRUE
17.712,12.9321,30,64,1,TRUE
17.544,13.0046,29.5,61,1,TRUE
17.338,13.0771,30.5,67,1,TRUE
17.284,13.1496,29,55,1,TRUE
17.178,13.2221,30,56,1,TRUE
17.112,13.2946,30,62,1,TRUE
17.284,13.3671,31.5,61,1,TRUE
17.52,13.4396,29.5,60,1,TRUE
17.83,13.5121,30,57,1,TRUE
18.134,13.5846,30,63,1,TRUE
18.324,13.6571,30,61,1,TRUE
18.546,13.7295,29,75,1,TRUE
18.754,13.802,29,61,1,TRUE
18.936,13.8745,29,63,1,TRUE
19.026,13.947,29,58,1,TRUE
19.038,14.0195,30,77,1,TRUE
19.01,14.092,31.5,71,1,TRUE
19.044,14.1645,30,69,1,TRUE
19.214,14.237,30,68,1,TRUE
19.35,14.3095,29.5,66,1,TRUE
19.474,14.382,28.5,71,1,TRUE
19.602,14.4545,30,66,1,TRUE
19.632,14.527,31,70,1,TRUE
19.748,14.5995,29.5,63,1,TRUE
19.898,14.672,29.5,61,1,TRUE
20.04,14.7444,30,55,1,TRUE
20.128,14.8169,29.5,51,1,TRUE
20.104,14.8894,31,76,1,TRUE
19.914,14.9619,31,57,1,TRUE
19.582,15.0344,30,58,1,TRUE
19.236,15.1069,31,57,1,TRUE
19.002,15.1794,31,59,1,TRUE
18.848,15.2519,30,61,1,TRUE
18.704,15.3244,30,63,1,TRUE
18.532,15.3969,30.5,67,1,TRUE
18.444,15.4694,31,68,1,TRUE
18.334,15.5419,31.5,65,1,TRUE
18.238,15.6144,32,62,1,TRUE
18.1,15.6869,31,60,1,TRUE
17.944,15.7593,29,61,1,TRUE
17.758,15.8318,31,59,1,TRUE
17.628,15.9043,30.5,62,1,TRUE
17.49,15.9768,29.5,66,1,TRUE
17.414,16.0493,30.5,60,1,TRUE
17.378,16.1218,29,63,1,TRUE
17.302,16.1943,29.5,54,1,TRUE
17.204,16.2668,29.5,61,1,TRUE
17.14,16.3393,29.5,73,1,TRUE
17.106,16.4118,30,73,1,TRUE
16.966,16.4843,30.5,68,1,TRUE
16.78,16.5568,30.5,77,1,TRUE
16.604,16.6293,32,63,1,TRUE
16.474,16.7018,31,62,1,TRUE
16.388,16.7742,29.5,64,1,TRUE
16.336,16.8467,28.5,60,1,TRUE
16.292,16.9192,30.5,55,1,TRUE
16.226,16.9917,31,65,1,TRUE
16.228,17.0642,31,58,1,TRUE
16.464,17.1367,30,72,1,TRUE
16.638,17.2092,29.5,65,1,TRUE
16.566,17.2817,29.5,62,1,TRUE
16.438,17.3542,29,71,1,TRUE
16.356,17.4267,30,60,1,TRUE
16.344,17.4992,30,65,1,TRUE
16.33,17.5717,30,64,1,TRUE
16.28,17.6442,31,60,1,TRUE
16.138,17.7167,31.5,60,1,TRUE
15.99,17.7891,31.5,54,1,TRUE
15.828,17.8616,30.5,57,1,TRUE
15.684,17.9341,31.5,56,1,TRUE
15.558,18.0066,3,54,1,TRUE
15.434,18.0791,31,60,1,TRUE
15.328,18.1516,30.5,55,1,TRUE
15.284,18.2241,29.5,53,1,TRUE
15.928,18.2966,28,54,1,TRUE
16.658,18.3691,29,48,1,TRUE
16.37,18.4416,29,52,1,TRUE
16.012,18.5141,29,68,1,TRUE
15.832,18.5866,29,90,1,TRUE
15.86,18.6591,28.5,93,1,TRUE
16.082,18.7316,28.5,77,1,TRUE
16.374,18.804,29,61,1,TRUE
16.378,18.8765,29.5,34,1,TRUE
16.136,18.949,29,41,1,TRUE
15.848,19.0215,29,37,1,TRUE
15.638,19.094,28.5,44,1,TRUE
15.462,19.1665,29.5,44,1,TRUE
15.308,19.239,27.5,45,1,TRUE
15.162,19.3115,27.5,63,1,TRUE
15.044,19.384,27,60,1,TRUE
14.938,19.4565,28,44,0,FALSE
14.83,19.529,27,27,0,FALSE
14.746,19.6015,26.5,25,0,FALSE
14.672,19.674,27,29,0,FALSE
14.586,19.7465,24,33,1,TRUE
14.514,19.8189,26,38,1,TRUE
14.442,19.8914,26.5,35,1,TRUE
14.388,19.9639,27,40,1,TRUE
14.332,20.0364,28,32,1,TRUE
14.27,20.1089,25.5,32,1,TRUE
14.198,20.1814,24,30,1,TRUE
14.162,20.2539,23.5,35,1,TRUE
14.132,20.3264,26.5,32,1,TRUE
14.08,20.3989,26.5,32,1,TRUE
14.038,20.4714,25,31,1,TRUE
13.996,20.5439,25.5,31,1,TRUE
13.96,20.6164,26,36,1,TRUE
13.912,20.6889,26,39,1,TRUE
13.874,20.7614,26,43,1,TRUE
13.856,20.8338,25,26,1,TRUE
13.81,20.9063,26.5,23,1,TRUE
13.772,20.9788,25.5,34,1,TRUE
13.746,21.0513,25.5,34,1,TRUE
13.726,21.1238,25,34,1,TRUE
13.704,21.1963,23,40,1,TRUE
13.678,21.2688,24.5,28,1,TRUE
13.646,21.3413,24.5,26,1,TRUE
13.612,21.4138,25.5,24,1,TRUE
13.58,21.4863,24.5,25,1,TRUE
13.556,21.5588,24,27,1,TRUE
13.502,21.6313,24,25,1,TRUE
13.452,21.7038,23,24,1,TRUE
13.416,21.7763,21.5,25,1,TRUE
13.386,21.8487,23.5,26,1,TRUE
13.356,21.9212,23.5,23,1,TRUE
13.332,21.9937,24.5,26,1,TRUE
13.292,22.0662,25,28,1,TRUE
13.226,22.1387,23.5,28,1,TRUE
13.218,22.2112,24,24,1,TRUE
13.206,22.2837,21,25,1,TRUE
13.096,22.3562,21.5,28,1,TRUE
13.024,22.4287,21.5,31,1,TRUE
13.006,22.5012,23,26,1,TRUE
12.984,22.5737,23.5,30,1,TRUE
12.952,22.6462,22,34,1,TRUE
12.92,22.7187,22.5,25,1,TRUE
12.906,22.7912,19,16,1,TRUE
12.884,22.8636,20,18,1,TRUE
12.857,22.9361,21,25,1,TRUE
17.034,23.0086,21.5,29,1,TRUE
17.045,23.0811,21.5,28,1,TRUE
17.056,23.1536,22,26,1,TRUE
17.067,23.2261,22,26,1,TRUE
17.078,23.2986,21,19,1,TRUE
17.089,23.3711,21.5,20,1,TRUE
17.1,23.4436,22,21,1,TRUE
17.111,23.5161,21.5,22,1,TRUE
17.122,23.5886,22,25,1,TRUE
,,,25,,
